date,sentiment,total_volume,total_pnl,trade_count
2025-01-28,Greed,6818219.08054623,17979.613973,498
2025-01-29,Greed,5136374.4615,23421.01147,910
2025-01-30,Greed,1587617.43128,23097.471385,1067
2025-01-31,Extreme Greed,4156508.54969,35868.296773,1016
2025-02-01,Greed,6531578.90293,32300.205017,634
2025-02-02,Greed,2856407.23053,162854.759623,1319
2025-02-03,Fear,12993753.49954967,348871.326269,2380
2025-02-04,Greed,1144231.01994,416876.88812,2512
2025-02-05,Neutral,1176756.31614,56706.235562,1297
2025-02-06,Neutral,2498575.95852,33803.799733,1703
2025-02-07,Fear,33942918.12908,22450.002091,1524
2025-02-08,Fear,1140156.72729,586.703253,575
2025-02-09,Neutral,4514415.83014,150551.829492,764
2025-02-10,Fear,9002006.58675,63908.49465,889
2025-02-11,Neutral,1275165.26114,-6093.784817,848
2025-02-12,Neutral,1189000.53382,19848.635032,1031
2025-02-13,Neutral,16842271.94634,27829.534238,1370
2025-02-14,Neutral,199298.33239999998,213860.675308,1655
2025-02-15,Neutral,14110781.75544,45042.92701,932
2025-02-16,Neutral,121778.07806,2369.478425,681
2025-02-17,Neutral,142023.06547,1818.573295,941
2025-02-18,Neutral,44567445.99253,91204.672403,1676
2025-02-19,Fear,52433745.56607,14985.794701,1361
2025-02-20,Neutral,8120815.47315,46008.794102,2012
2025-02-21,Greed,8091976.01041,119693.49395,1873
2025-02-22,Neutral,12684469.99018,25278.704178,686
2025-02-23,Neutral,4992764.71522,10656.934251,520
2025-02-24,Neutral,1627461.28492,38470.176242,5616
2025-02-25,Fear,4702977.52916,204762.177034,6246
2025-02-26,Extreme Fear,2603873.84311,63229.063129,1176
2025-02-27,Extreme Fear,355587.03535,-36525.167517,890
2025-02-28,Extreme Fear,283176.4143,225628.108748,1019
2025-03-01,Extreme Fear,252969.30428563,10596.108968,174
2025-03-02,Fear,256166.66921,66914.320708,532
2025-03-03,Fear,1215235.7347,616413.032233,1482
2025-03-04,Extreme Fear,949350.55796,182075.566585,2402
2025-03-05,Extreme Fear,656600.24214,269328.365917,1660
2025-03-06,Fear,134593.06631,16101.125561,760
2025-03-07,Fear,1338194.4536,150236.061627,2552
2025-03-08,Fear,4468405.21703,24700.773359,529
2025-03-09,Fear,246318.30604,19773.457395,1422
2025-03-10,Extreme Fear,726179.78717,-10010.027269999999,2911
2025-03-11,Extreme Fear,21838514.43294,-76880.729036,3286
2025-03-12,Fear,12354990.93712,288105.984215,3968
2025-03-13,Neutral,740713.05351,14114.870873,962
2025-03-14,Fear,334096.57324,68646.160089,2210
2025-03-15,Neutral,3040228.53161,78694.624572,261
2025-03-16,Fear,407202.2754,-7910.943544999999,530
2025-03-17,Fear,4511462.99931,26163.906513,920
2025-03-18,Fear,1280331.60433,72322.788824,834
2025-03-19,Fear,819323.64098,29374.682341,1612
2025-03-20,Neutral,1015534.77546,10246.859436,771
2025-03-21,Fear,2651304.56857,6951.270374,698
2025-03-22,Fear,1556446.62807,12498.535254,535
2025-03-23,Fear,493230.15874,14047.421585,447
2025-03-24,Neutral,617462.1934,107878.961301,1027
2025-03-25,Neutral,1250187.07465,32030.90678,791
2025-03-26,Neutral,4861551.17817,15802.167427,3102
2025-03-27,Fear,686430.81325,58825.359221,785
2025-03-28,Fear,1624633.89783,21337.179335,728
2025-03-29,Fear,1428890.01432,12098.872931,1894
2025-03-30,Fear,697951.78635694,15795.11514,568
2025-03-31,Fear,1241557.92206,6978.184557,495
2025-04-01,Fear,922157.5379400001,-2202.6622420000003,192
2025-04-02,Fear,3768092.12272,202212.740938,1076
2025-04-03,Fear,5323868.72889,-2365.961276,1748
2025-04-04,Fear,1425479.21115,-25515.678949999998,1272
2025-04-05,Fear,1578033.86483985,35907.33771,360
2025-04-06,Fear,1050029.91139322,47053.449272,1048
2025-04-07,Extreme Fear,3912056.53206,34527.370305,2814
2025-04-08,Extreme Fear,954031.23507265,34899.394798,943
2025-04-09,Extreme Fear,3010140.18608,43120.444797,3967
2025-04-10,Fear,3124622.850807684,158261.822261,2127
2025-04-11,Fear,631096.46176,126406.479081,1096
2025-04-12,Fear,1734379.95047,410419.694533,2109
2025-04-13,Neutral,2596596.5766481,48696.021521,1321
2025-04-14,Fear,255226.28703,45680.443063,890
2025-04-15,Fear,332384.0955165,72357.706282,1131
2025-04-16,Fear,685571.47402,58631.730257,1608
2025-04-17,Fear,660171.85707,5427.919886,1031
2025-04-18,Fear,319091.03943,4880.4047439999995,1894
2025-04-19,Fear,2681599.08734239,71950.577495,2786
2025-04-20,Fear,1811225.3165795,25060.341936,1982
2025-04-21,Fear,2333025.83098,34369.267906999994,1718
2025-04-22,Neutral,32699511.7848947,58652.763578,2998
2025-04-23,Greed,70800498.21052,-419020.225731,6159
2025-04-24,Greed,4275681.15339,50704.395965,2232
2025-04-25,Greed,3290588.8704794,20218.859206,1653
2025-04-26,Greed,8474693.58638,-4125.753942,1131
2025-04-27,Greed,3887430.28472,2702.067468,337
2025-04-28,Neutral,215249.28118,36906.813759,1379
2025-04-29,Greed,297481.95515,125749.613427,2243
2025-04-30,Greed,155976.10227,14003.797269,1113
2025-05-01,Neutral,101855.22113,54536.829297000004,1230
